Listener_ID,Age,Gender,Location,Music_Preferences,Income_Level,Platform,Album_Sales,Streaming_Numbers,Streaming_Platform,Acquisition_Medium
1,22,Male,Los Angeles,Hip-Hop,Low,TikTok,1,6,Apple Music,Adverts
2,19,Male,Sydney,Hip-Hop,Medium,Instagram,1,5,Spotify,Adverts
3,19,Female,Sydney,Pop,Medium,Twitter,1,7,Apple Music,Adverts
4,21,Male,Melbourne,Hip-Hop,Medium,Instagram,1,9,Apple Music,Adverts
5,19,Female,Sydney,Pop,High,Twitter,0,7,Spotify,Adverts
6,23,Female,Melbourne,RnB,Low,Instagram,1,5,YouTube,Influencers
7,21,Female,Sydney,Alternative,Low,Instagram,1,8,Spotify,Organic
8,23,Female,Melbourne,Alternative,Medium,Twitter,1,10,Spotify,Adverts
9,18,Male,Sydney,Hip-Hop,Low,Instagram,1,7,Spotify,Adverts
10,19,Male,New York,Hip-Hop,Low,Twitter,1,7,Spotify,Adverts
11,22,Female,New York,Pop,Low,Instagram,1,10,Spotify,Radio plays
12,23,Female,Melbourne,Alternative,Low,Instagram,1,5,Spotify,Influencers
13,20,Female,Sydney,Alternative,Low,Instagram,0,7,Apple Music,Influencers
14,21,Male,Sydney,Hip-Hop,Medium,Instagram,1,10,Apple Music,Adverts
15,18,Male,Sydney,Pop,Low,Instagram,0,6,Apple Music,Influencers
16,21,Female,Los Angeles,Pop,Medium,Instagram,1,5,Apple Music,Adverts
17,22,Male,Melbourne,Hip-Hop,High,Twitter,1,10,Spotify,Organic
18,19,Female,Melbourne,RnB,Low,Twitter,1,9,Apple Music,Adverts
19,20,Female,Sydney,Alternative,High,Instagram,1,7,Apple Music,Adverts
20,18,Male,Melbourne,Hip-Hop,Low,Twitter,1,9,Spotify,Radio plays
21,18,Female,Los Angeles,RnB,Low,Instagram,1,5,Spotify,Adverts
22,21,Female,Sydney,Alternative,Low,Twitter,1,7,Spotify,Radio plays
23,20,Female,Melbourne,Country,Low,Twitter,1,6,YouTube,Adverts
24,18,Female,New York,Country,Low,TikTok,1,7,Spotify,Adverts
25,21,Female,New York,Alternative,Medium,Twitter,1,10,Spotify,Influencers
26,22,Female,Melbourne,Alternative,Medium,Twitter,0,5,Apple Music,Adverts
27,22,Male,New York,RnB,Low,Instagram,0,9,Apple Music,Influencers
28,18,Male,Melbourne,Country,Low,Instagram,0,7,Spotify,Adverts
29,20,Female,Sydney,Pop,Low,Twitter,0,6,Spotify,Adverts
30,22,Male,London,Pop,Medium,TikTok,0,10,Spotify,Influencers
31,18,Male,Sydney,Alternative,Low,Instagram,1,8,Tidal,Adverts
32,21,Female,New York,RnB,Low,Instagram,1,5,Spotify,Adverts
33,20,Female,Sydney,Hip-Hop,Low,Instagram,1,10,Apple Music,Adverts
34,18,Female,Melbourne,Pop,High,Twitter,1,5,Spotify,Adverts
35,18,Female,New York,Pop,Low,Twitter,1,5,YouTube,Radio plays
36,19,Male,Sydney,Alternative,Medium,Instagram,0,6,Spotify,Radio plays
37,18,Female,Sydney,Pop,Low,Instagram,1,6,Apple Music,Adverts
38,21,Male,Sydney,Pop,High,Twitter,1,8,Others,Influencers
39,21,Female,Tokyo,Hip-Hop,Medium,Twitter,1,7,Apple Music,Adverts
40,18,Female,New York,Pop,Medium,TikTok,1,10,YouTube,Organic
41,22,Male,Los Angeles,Pop,Medium,Instagram,1,5,Apple Music,Adverts
42,20,Female,New York,Pop,Low,Instagram,1,8,Spotify,Influencers
43,22,Female,New York,Alternative,Low,Instagram,1,9,Apple Music,Influencers
44,22,Female,Melbourne,RnB,Medium,Instagram,0,10,Apple Music,Adverts
45,18,Male,Sydney,Pop,Low,Twitter,0,10,YouTube,Radio plays
46,21,Female,Sydney,Hip-Hop,Low,Instagram,1,9,Spotify,Influencers
47,20,Female,London,Alternative,Low,Twitter,1,6,Apple Music,Adverts
48,20,Female,Sydney,Hip-Hop,High,Twitter,0,8,Others,Radio plays
49,18,Female,Melbourne,Pop,High,Twitter,0,6,Spotify,Radio plays
50,23,Female,Melbourne,Alternative,Low,Instagram,0,9,Spotify,Radio plays
51,19,Female,New York,Hip-Hop,Low,Instagram,1,5,YouTube,Radio plays
52,19,Female,Melbourne,Pop,Low,Instagram,1,6,Spotify,Organic
53,21,Female,New York,Alternative,Low,Twitter,1,6,Tidal,Adverts
54,18,Female,Melbourne,Hip-Hop,High,Twitter,1,9,Spotify,Adverts
55,20,Male,Lagos,Pop,Low,Instagram,1,6,YouTube,Influencers
56,20,Female,Melbourne,Country,Low,Instagram,1,5,YouTube,Influencers
57,22,Female,New York,Alternative,High,Instagram,1,9,Spotify,Influencers
58,22,Male,Melbourne,Pop,High,TikTok,1,6,Others,Adverts
59,18,Female,Melbourne,Pop,Low,Instagram,0,10,Spotify,Adverts
60,20,Male,Melbourne,Alternative,Low,Instagram,0,5,YouTube,Adverts
61,18,Female,Melbourne,Pop,Medium,Twitter,1,8,Apple Music,Adverts
62,23,Female,Los Angeles,Hip-Hop,High,Twitter,1,8,Spotify,Radio plays
63,18,Female,Melbourne,Alternative,High,Instagram,1,7,YouTube,Influencers
64,22,Male,Los Angeles,RnB,High,Instagram,0,7,Apple Music,Adverts
65,18,Male,Sydney,Alternative,Low,Instagram,0,8,YouTube,Influencers
