OrderID,SalesDate,ProductID,CustomerID,PersonnelID,SalesChannel,PaymentMode,StoreID,Quantity,SalesAmount
1,1/1/2023,111,RH-19495,56,In-store,Cash,7,5,99000
2,1/1/2023,151,JR-16210,55,Online,Mobile Payment,6,5,172500
3,1/1/2023,31,CR-12730,26,In-store,Cash,3,8,174400
4,1/1/2023,65,KM-16375,46,Online,Credit Card,3,2,87821.7
5,1/1/2023,122,RH-9495,95,Online,Credit Card,6,5,67455
6,1/1/2023,179,JM-15655,9,Online,Mobile Payment,2,1,18999
7,1/1/2023,202,TS-21340,47,Online,Debit Card,5,8,300000
8,1/1/2023,174,MB-18085,58,Online,Mobile Payment,1,6,119994
9,1/1/2023,111,JW-15220,75,In-store,Cash,2,7,138600
10,1/1/2023,99,JH-15985,22,Online,Credit Card,2,6,219545.1
11,1/1/2023,57,AJ-10780,76,In-store,Credit Card,1,5,159500
12,1/1/2023,38,MM-7260,88,In-store,Credit Card,6,7,82600
13,1/1/2023,147,VF-21715,8,Online,Cash,7,5,172500
14,1/1/2023,76,PF-19120,82,Online,Credit Card,4,6,192095.1
15,1/1/2023,87,BP-11185,91,Online,Credit Card,5,8,234166.8
16,1/1/2023,121,TB-21175,53,Online,Credit Card,5,3,35400
17,1/1/2023,94,PJ-18835,72,Online,Cash,5,5,224129.25
18,1/1/2023,178,JS-15685,50,Online,Cash,1,7,132993
19,1/1/2023,4,RH-9555,31,Online,Credit Card,7,2,47600
20,1/1/2023,134,AB-600,74,In-store,Cash,6,2,23382
21,1/1/2023,165,SA-20830,98,In-store,Credit Card,6,8,151992
22,1/1/2023,83,JK-15325,58,Online,Cash,1,8,87766.8
23,1/1/2023,82,LB-16795,71,In-store,Cash,2,7,224110.95
24,1/1/2023,178,NP-18325,59,In-store,Debit Card,4,2,37998
25,1/1/2023,128,VD-21670,37,In-store,Mobile Payment,4,9,121419
26,1/1/2023,155,PB-19210,64,Online,Cash,3,9,337500
27,1/1/2023,45,KF-16285,43,Online,Cash,6,1,58200
28,1/1/2023,137,BP-11230,94,In-store,Debit Card,4,1,11691
29,1/1/2023,124,RR-19525,50,In-store,Cash,1,6,43146
30,1/1/2023,146,BS-11365,61,Online,Mobile Payment,5,5,182500
31,1/1/2023,127,JE-15745,84,In-store,Cash,6,5,35955
32,1/1/2023,117,DP-13105,19,Online,Cash,5,2,23600
33,1/1/2023,6,NP-18700,14,In-store,Debit Card,5,9,214200
34,1/1/2023,81,AH-30,5,Online,Mobile Payment,6,9,246967.65
35,1/1/2023,27,DM-13015,25,Online,Debit Card,7,4,75200
36,1/1/2023,185,GT-14635,98,In-store,Mobile Payment,6,6,225000
37,1/1/2023,74,PO-18865,87,In-store,Debit Card,4,5,228704.25
38,1/1/2023,53,JB-16000,91,In-store,Cash,5,1,51300
39,1/1/2023,59,BF-11005,61,Online,Mobile Payment,5,7,153655.95
40,1/1/2023,189,VG-21805,57,In-store,Cash,5,3,112500
41,1/1/2023,124,GT-14710,59,Online,Cash,4,5,35955
42,1/1/2023,138,ZC-21910,86,In-store,Credit Card,5,8,57528
43,1/1/2023,179,SC-20095,77,In-store,Debit Card,4,8,151992
44,1/1/2023,84,EB-13840,56,In-store,Mobile Payment,7,7,102415.95
45,1/1/2023,194,AP-10915,57,In-store,Debit Card,5,4,119996
46,1/1/2023,174,SW-20275,49,Online,Debit Card,4,5,99995
47,1/1/2023,127,JH-15820,9,In-store,Cash,2,9,64719
48,1/1/2023,191,LC-16885,11,Online,Cash,3,5,237500
49,1/1/2023,61,TG-11640,77,In-store,Credit Card,4,7,153655.95
50,1/1/2023,10,HR-14830,82,In-store,Credit Card,4,1,16800
51,1/1/2023,209,PB-19210,61,Online,Cash,5,8,103992
52,1/1/2023,154,DG-3300,61,In-store,Credit Card,5,2,75000
53,1/1/2023,143,SG-20470,41,In-store,Debit Card,4,3,107973
54,1/1/2023,207,FH-14365,46,In-store,Credit Card,3,7,90993
55,1/1/2023,165,GP-14740,72,In-store,Mobile Payment,5,1,18999
56,1/1/2023,123,MW-18220,15,Online,Mobile Payment,5,4,35964
57,1/1/2023,87,PO-18850,10,Online,Cash,7,5,146354.25
58,1/1/2023,11,CS-12460,64,In-store,Mobile Payment,3,2,33600
59,1/1/2023,75,KD-16495,61,Online,Debit Card,5,5,320204.25
60,1/1/2023,132,MS-17980,57,Online,Credit Card,5,7,50337
61,1/1/2023,35,KC-16675,46,In-store,Credit Card,3,5,54000
62,1/1/2023,75,DB-13405,96,In-store,Debit Card,4,9,576367.65
63,1/1/2023,59,JD-15895,56,Online,Debit Card,7,4,87803.4
64,1/1/2023,23,DK-13090,46,In-store,Debit Card,3,1,21800
65,1/1/2023,177,CS-11845,91,Online,Cash,5,1,18999
66,1/1/2023,34,EM-14200,52,In-store,Mobile Payment,4,7,89600
67,1/1/2023,99,DW-3480,48,Online,Debit Card,7,3,109772.55
68,1/1/2023,72,AS-10225,43,Online,Credit Card,6,4,219563.4
69,1/1/2023,102,ST-20530,84,In-store,Credit Card,6,9,142200
70,1/1/2023,90,BW-1065,69,Online,Debit Card,6,2,51221.7
71,1/1/2023,208,LA-16780,71,In-store,Mobile Payment,2,2,25998
72,1/1/2023,42,AB-10150,56,Online,Debit Card,7,2,101600
73,1/1/2023,201,JH-15820,15,Online,Cash,5,1,37500
74,1/1/2023,210,CM-12385,49,Online,Cash,4,3,38997
75,1/1/2023,89,BE-11410,93,Online,Mobile Payment,5,9,263437.65
