Sales Date,GDP,Inflation Rate,Seasonal Factor
13/09/2021,24668.89,2.12,1.06
23/10/2021,23770.38,2.04,1.03
20/03/2018,19363.94,4.94,0.85
06/06/2019,18642.21,1.28,1.07
30/06/2021,20071.23,3.67,0.93
09/02/2021,21155.15,2.2,1.02
15/09/2019,19417.86,3.7,1
11/09/2021,23184.23,4,1.07
10/07/2022,24839.36,3.45,1.11
28/04/2020,18996.53,1.59,1.08
14/05/2022,20574.06,4.67,0.85
30/06/2022,21126.52,3.88,1
02/07/2020,17591.92,1.99,1.06
19/09/2020,22135.45,1.94,0.93
15/06/2018,22064.19,1.26,0.96
12/08/2020,24048.38,3.34,1.08
03/09/2020,23534.48,4.81,0.97
27/06/2022,17729.35,2.94,0.96
23/01/2022,24069.29,3.37,1.07
09/08/2021,15502.85,2.52,0.88
23/11/2019,17522.72,1.33,0.81
17/04/2018,22542.33,4.8,0.88
26/06/2021,20639.7,1.87,1.08
10/12/2018,24647.21,1.43,0.81
25/03/2021,24414.71,1.79,1.04
28/07/2018,18472.04,2.71,0.95
19/08/2021,16055.39,4.84,1.05
19/12/2021,19648.74,4.3,1.04
11/10/2022,23816.31,1.98,0.99
20/11/2019,19875.5,2.42,0.9
08/12/2022,20166.27,1.76,0.9
27/09/2020,19481.75,1.07,0.92
17/11/2021,20534.73,2.38,1.2
22/12/2019,17305.38,3.89,0.93
10/04/2022,17765,3.36,1.1
25/07/2018,18022.68,3.83,0.85
22/04/2018,16025.88,1.05,0.91
21/06/2020,24410.64,2.91,1.13
04/10/2020,16491.98,3.25,0.92
31/08/2018,19505.14,2.77,1.14
18/09/2019,21255.15,2.06,0.83
22/12/2018,19505.04,3.38,0.92
14/08/2019,21873.85,4.7,1.12
20/05/2020,23266.31,1.29,0.87
03/05/2021,16243.54,3.75,1.08
21/10/2020,23894.23,3.94,1.04
07/07/2018,20762.47,4.05,0.87
27/08/2021,21347.85,2.97,0.84
16/04/2020,18298.04,3.77,0.92
25/07/2022,18145.17,2.29,1.19
07/11/2022,19132.48,1.75,0.94
04/07/2021,20492.2,4.71,0.98
06/09/2018,18107.5,1.05,0.96
20/09/2022,19983.76,3.87,1
30/04/2020,20512.65,2.53,1.17
09/03/2022,18398.75,4.15,0.91
03/08/2019,19465.47,2.94,0.93
12/02/2020,20717.98,1.93,1.11
14/10/2019,24884.14,4.17,1.06
11/10/2020,23741.9,2.76,1.01
01/02/2018,19694.91,4.88,0.94
23/08/2021,21267.99,4.55,1
15/03/2018,22467.66,2.74,0.84
27/06/2020,18243.75,1.22,0.94
26/10/2018,16750.69,3.44,0.95
16/10/2020,19595.7,3.67,1.16
13/08/2019,24452.36,4.95,0.92
14/11/2021,24993.74,4.41,0.84
17/03/2021,24779.44,3.63,0.91
26/05/2021,21070.65,2.41,1.05
20/10/2021,24034.04,3.59,0.92
10/03/2018,24096.28,2.31,0.97
28/09/2018,23304.73,2.03,1.13
10/07/2022,19683.31,1.3,1.1
28/10/2022,15903.03,2.58,0.91
20/07/2020,23224.17,4.76,0.84
23/08/2020,21476.52,3.54,0.99
22/08/2021,18043.65,2.97,0.84
05/10/2018,23854.14,3.62,1.13
27/07/2019,19446.96,1.94,0.95
20/01/2021,16898.09,1.49,1.14
07/07/2018,22867.95,1.97,0.85
21/05/2018,18285.6,1.59,1.16
22/07/2019,16099.26,4.47,0.85
06/06/2022,17653.68,1.51,0.97
08/03/2022,19520.05,1.89,1.05
10/09/2019,24985.87,4.39,0.97
01/10/2020,18221.12,1.59,0.85
29/12/2021,20055.51,2.72,1.12
13/10/2022,19515.55,1.91,0.94
27/03/2020,18125.24,2.02,1.18
18/05/2018,15965.64,3.96,1.12
16/04/2021,18535.98,3.66,1.1
13/08/2019,16547.3,2.93,1.14
28/09/2022,23072.21,4.38,1.19
01/06/2021,16804.16,3.81,0.92
20/12/2019,15695.85,3.96,1.19
09/03/2022,18408.96,2.48,1.09
15/12/2022,17721.03,3.65,0.99
28/04/2020,19299.14,2.13,1.07
15/12/2020,24844.46,1.22,0.88
21/04/2022,16199.84,2.99,0.97
18/02/2020,18970.71,3.97,0.97
09/06/2018,17895.15,2.62,1.19
30/06/2022,19367.12,1.42,0.97
09/12/2020,17215.72,4.12,0.83
22/12/2020,22273.79,4.28,1.13
30/07/2018,22602.15,3.62,0.87
08/08/2020,23642.47,3.51,0.86
18/08/2020,18519.42,1.3,0.98
27/04/2018,21150.08,3.03,0.99
10/07/2020,20013.67,4.83,0.98
02/01/2022,17477.44,2.75,0.98
02/06/2021,19087.69,2.35,1.04
15/05/2018,17519.96,4.41,1.19
14/11/2019,18102.32,3.62,1.06
03/05/2021,21434.93,2.31,0.85
11/07/2018,18625.98,1.72,0.89
29/01/2019,17957.92,4.15,1
07/09/2022,23763.93,3.47,1.04
29/11/2018,15436.92,2.46,1.09
04/06/2021,20340.11,2.24,1.12
07/09/2022,22694.39,4.11,1
28/11/2018,15521.8,2.92,0.95
27/12/2021,22631.17,2.09,1.16
29/08/2022,23846.3,4.72,0.97
25/10/2020,17245.39,2.27,0.84
09/06/2022,21960.72,1.56,1.08
14/06/2021,17156.55,1.6,1.18
16/05/2020,16218.48,1.95,1.06
09/05/2018,21319.55,3.3,1.09
29/05/2020,16873.14,3.67,1.01
19/05/2018,23733.31,1.17,0.95
04/06/2019,17411.26,3.63,0.84
01/10/2018,23303.84,3.74,1.19
17/07/2021,15369.84,1.81,1.12
09/10/2019,15366.21,3.59,0.91
09/11/2022,19369.51,2.6,0.98
26/11/2019,24243.1,3.08,1.12
11/06/2018,18212.11,1.32,1.06
02/07/2020,18515.47,1.17,1.15
13/06/2021,21711.84,2.62,1.01
05/03/2018,16262.3,1.94,1.06
24/02/2020,24488.24,2.49,1.11
20/12/2020,24605.2,1.1,0.87
03/03/2020,17145.7,3.45,1.08
14/02/2019,16726.56,3.85,1.2
29/09/2021,23513.62,3.85,1.17
14/06/2022,22920.66,1.95,1
08/02/2021,15657.48,2.59,1.09
12/12/2020,24723.8,3.57,0.98
07/12/2019,19326.18,4.64,0.82
27/11/2020,24347.38,1.9,1.18
05/08/2019,21250.22,3.46,0.84
27/04/2021,23252.36,1.11,0.82
26/08/2021,19980.38,3.51,0.92
16/09/2020,19535.44,3.75,0.86
18/09/2020,23614.85,2.28,1.2
27/03/2020,17417.38,1.49,0.98
18/07/2018,17482.7,4.46,0.86
29/03/2021,24959.69,2.87,1.15
17/02/2018,17151.44,2.41,0.82
08/05/2021,23471.72,2.72,1.15
14/04/2022,20702.82,1.78,1.02
02/03/2020,16286.63,1.39,0.95
16/02/2021,20000.78,1.18,0.85
05/07/2022,18279.66,3.45,0.87
30/04/2021,19748.93,1.07,0.93
03/05/2020,17655.3,3.62,1.19
17/01/2022,16477.76,3.72,0.81
26/01/2019,19129.6,1.82,1
23/11/2022,20608.87,4.99,0.99
05/10/2019,21758.69,4.47,1.07
03/06/2021,20580.87,1.9,1.19
29/04/2022,19798.03,3.24,1.17
13/08/2019,23183.77,4.82,1.12
28/03/2018,24240.1,3.62,1.1
18/02/2019,16092.27,3.96,0.9
03/10/2021,16001.98,2.32,0.99
11/01/2018,21528.93,4.52,0.99
29/03/2022,21522.99,1.93,1.1
25/12/2018,24971.72,2.59,1
01/12/2022,17845.62,4.96,1.02
27/12/2022,16928.11,1.45,0.86
