Product ID,Product Category,Promotions
1387,SmartPhones,Yes
7548,Electronics,Yes
5349,SmartPhones,No
4114,Electronics,Yes
6409,Electronics,No
5844,Laptops,Yes
1006,SmartPhones,No
3780,SmartPhones,Yes
4680,Electronics,Yes
8461,Laptops,No
2746,Laptops,Yes
3184,SmartPhones,No
9976,Laptops,No
9540,Laptops,Yes
9849,Laptops,Yes
9890,Laptops,No
7232,SmartPhones,No
9947,Laptops,Yes
7624,Home_Appliances,Yes
2375,Laptops,Yes
6355,SmartPhones,No
9837,Electronics,Yes
1333,Laptops,Yes
7043,Electronics,Yes
6111,Laptops,No
4978,Electronics,Yes
9289,Laptops,No
8532,SmartPhones,No
6280,Electronics,No
7209,SmartPhones,Yes
5581,SmartPhones,Yes
7658,Laptops,No
7625,SmartPhones,No
6419,SmartPhones,No
9779,Home_Appliances,No
5636,SmartPhones,Yes
1745,Home_Appliances,No
8843,Electronics,No
7565,Electronics,Yes
5066,Home_Appliances,No
8025,Electronics,Yes
4929,Electronics,No
4792,Laptops,Yes
4241,Home_Appliances,No
6039,SmartPhones,No
5460,Electronics,Yes
1423,Electronics,No
9502,Home_Appliances,No
6700,Electronics,Yes
7561,Laptops,Yes
7622,Electronics,No
9167,Home_Appliances,No
8941,Home_Appliances,Yes
4681,Electronics,Yes
5479,Home_Appliances,No
9327,SmartPhones,No
1042,Laptops,Yes
9903,Home_Appliances,Yes
1715,Laptops,No
3492,SmartPhones,Yes
8486,Home_Appliances,Yes
7512,Laptops,No
9864,SmartPhones,Yes
2646,Electronics,Yes
8056,Home_Appliances,Yes
4945,Laptops,No
8622,Electronics,No
7951,SmartPhones,Yes
7248,SmartPhones,Yes
1803,SmartPhones,Yes
5106,Home_Appliances,Yes
8222,Home_Appliances,Yes
4289,SmartPhones,No
8894,SmartPhones,Yes
4696,Laptops,No
3024,SmartPhones,No
4830,SmartPhones,Yes
5951,Electronics,Yes
9807,Laptops,Yes
7686,Home_Appliances,No
7018,Laptops,No
8450,Electronics,Yes
4362,Home_Appliances,Yes
1046,SmartPhones,Yes
6869,Electronics,Yes
2862,SmartPhones,Yes
9543,Electronics,Yes
2768,Electronics,Yes
9984,SmartPhones,No
2874,Home_Appliances,No
8430,SmartPhones,No
8770,Electronics,No
1982,Electronics,No
1842,Electronics,Yes
6736,SmartPhones,Yes
1430,SmartPhones,Yes
6567,Home_Appliances,No
2503,Laptops,No
2391,Electronics,Yes
8242,Electronics,No
8972,Home_Appliances,No
4460,SmartPhones,No
3116,SmartPhones,Yes
8532,Laptops,No
3815,SmartPhones,Yes
7560,SmartPhones,No
2868,SmartPhones,No
4871,Home_Appliances,Yes
9095,Laptops,No
2118,SmartPhones,Yes
1616,Electronics,Yes
1672,SmartPhones,No
6626,Home_Appliances,Yes
9564,SmartPhones,No
6482,Laptops,No
3463,Home_Appliances,No
3112,SmartPhones,No
9624,SmartPhones,Yes
8967,Home_Appliances,Yes
9843,Electronics,No
3527,Home_Appliances,No
8277,Laptops,Yes
8684,Laptops,No
7859,Home_Appliances,No
2680,SmartPhones,Yes
3414,Home_Appliances,No
7495,Electronics,No
6493,SmartPhones,No
8349,Electronics,No
9647,Home_Appliances,No
8489,Laptops,Yes
5772,Home_Appliances,No
6908,Electronics,No
7116,Electronics,No
6447,SmartPhones,Yes
8840,Electronics,No
1686,Laptops,No
1783,Electronics,No
7334,Laptops,No
7955,Home_Appliances,No
6021,Home_Appliances,No
6776,Electronics,Yes
3621,Laptops,Yes
6933,Home_Appliances,No
3255,SmartPhones,Yes
9482,SmartPhones,No
9047,Electronics,No
6236,SmartPhones,No
3852,Electronics,Yes
6912,Home_Appliances,Yes
8842,Electronics,Yes
9476,Home_Appliances,Yes
3034,Home_Appliances,No
9501,SmartPhones,Yes
3762,SmartPhones,Yes
5336,Laptops,Yes
5949,Laptops,No
7809,Home_Appliances,No
6658,Electronics,No
3308,Laptops,No
6364,Home_Appliances,No
9148,Laptops,Yes
9108,SmartPhones,Yes
6992,Laptops,Yes
2204,SmartPhones,Yes
6555,Home_Appliances,No
6456,Home_Appliances,Yes
5902,Laptops,No
2795,Electronics,No
4728,Home_Appliances,No
2800,Laptops,Yes
8726,Home_Appliances,Yes
7173,SmartPhones,No
5331,Home_Appliances,No
5876,Laptops,No
5480,Laptops,No
5758,Electronics,No
4505,SmartPhones,Yes
1831,Home_Appliances,Yes
3252,Home_Appliances,No
4267,Electronics,Yes
1611,Home_Appliances,Yes
5742,Electronics,No
9092,Laptops,No
8518,Electronics,No
3875,Laptops,No
3303,Electronics,No
6400,Electronics,No
2936,SmartPhones,Yes
4618,Laptops,No
9806,Home_Appliances,Yes
2838,Home_Appliances,Yes
4365,Laptops,Yes
1945,SmartPhones,Yes
2196,Electronics,Yes
1519,Home_Appliances,No
7184,Home_Appliances,No
3086,Electronics,No
7214,SmartPhones,Yes
2848,Electronics,Yes
1797,Laptops,Yes
3295,SmartPhones,No
9540,Electronics,Yes
6642,SmartPhones,No
9813,SmartPhones,Yes
7824,Home_Appliances,No
7079,Home_Appliances,Yes
2192,Home_Appliances,No
1251,Electronics,No
7498,SmartPhones,No
6892,Laptops,No
4625,Laptops,No
5026,SmartPhones,No
9037,SmartPhones,Yes
9882,Electronics,Yes
4791,Home_Appliances,No
8916,Laptops,Yes
5697,Laptops,Yes
4144,SmartPhones,No
8520,Home_Appliances,No
1519,Laptops,Yes
8109,Electronics,Yes
8790,SmartPhones,Yes
4394,Laptops,Yes
7375,Home_Appliances,Yes
8161,Laptops,No
9038,Laptops,No
5839,Electronics,No
7383,Electronics,No
2430,Laptops,Yes
6315,Laptops,No
4977,Laptops,Yes
2036,SmartPhones,No
9123,Electronics,Yes
7224,Laptops,Yes
8848,SmartPhones,No
4971,Laptops,No
9939,Electronics,No
2133,Home_Appliances,No
7176,Laptops,No
7853,SmartPhones,Yes
3725,Laptops,No
5239,Home_Appliances,No
9199,Laptops,Yes
3321,Home_Appliances,No
8412,Electronics,Yes
3692,Home_Appliances,No
7636,Laptops,No
8037,Home_Appliances,No
2667,SmartPhones,Yes
9646,Laptops,Yes
5873,Home_Appliances,No
3316,Home_Appliances,No
3838,Home_Appliances,Yes
6882,Laptops,No
8272,Electronics,Yes
3755,Laptops,Yes
7010,Laptops,Yes
5055,SmartPhones,Yes
4882,SmartPhones,No
4390,SmartPhones,Yes
5380,Electronics,Yes
5543,Home_Appliances,Yes
7434,SmartPhones,No
2525,SmartPhones,No
2526,SmartPhones,Yes
4470,SmartPhones,No
6631,Electronics,No
8479,Home_Appliances,No
6905,Home_Appliances,Yes
4836,Electronics,Yes
9510,SmartPhones,Yes
2160,Electronics,Yes
3181,Electronics,Yes
3480,Home_Appliances,Yes
7291,Home_Appliances,Yes
5668,SmartPhones,Yes
5842,Home_Appliances,No
2163,SmartPhones,Yes
9951,Electronics,Yes
1990,Laptops,No
3501,Home_Appliances,Yes
2083,Home_Appliances,Yes
1901,Home_Appliances,Yes
9133,SmartPhones,Yes
2934,Laptops,No
2262,Electronics,No
2685,Home_Appliances,Yes
8729,Home_Appliances,Yes
7870,SmartPhones,No
1862,Electronics,No
6090,Electronics,No
4974,Laptops,Yes
3466,SmartPhones,Yes
6038,Home_Appliances,No
5584,Laptops,No
9280,Electronics,Yes
5276,Laptops,No
4321,Electronics,Yes
2978,Home_Appliances,No
3582,Electronics,Yes
5066,SmartPhones,No
8408,Electronics,No
2010,Home_Appliances,Yes
2376,Electronics,Yes
3110,Laptops,Yes
7471,Laptops,Yes
8307,Home_Appliances,No
