Product ID,Sales Date,Inventory Quantity,Product Cost
1387,13/09/2021,25,85.71
7548,23/10/2021,69,72.92
5349,20/03/2018,14,123.35
4114,06/06/2019,6,144.67
6409,30/06/2021,41,136.04
5844,09/02/2021,17,46.45
1006,15/09/2019,37,49.93
3780,11/09/2021,11,63.92
4680,10/07/2022,26,38
8461,28/04/2020,81,119.38
2746,14/05/2022,55,51.58
3184,30/06/2022,60,136.84
9976,02/07/2020,21,151.29
9540,19/09/2020,81,55.46
9849,15/06/2018,18,38.66
9890,12/08/2020,54,21.83
7232,03/09/2020,1,189.12
9947,27/06/2022,78,180.58
7624,23/01/2022,22,169.7
2375,09/08/2021,55,35.78
6355,23/11/2019,98,177.13
9837,17/04/2018,45,52.6
1333,26/06/2021,20,55.32
7043,10/12/2018,78,125.38
6111,25/03/2021,87,182.52
4978,28/07/2018,90,156.77
9289,19/08/2021,44,12.4
8532,19/12/2021,20,92.74
6280,11/10/2022,32,167.84
7209,20/11/2019,4,103.92
5581,08/12/2022,77,143.22
7658,27/09/2020,72,154.05
7625,17/11/2021,32,68.18
6419,22/12/2019,90,96.21
9779,10/04/2022,89,45.18
5636,25/07/2018,25,66.29
1745,22/04/2018,71,65.51
8843,21/06/2020,44,45.03
7565,04/10/2020,10,119.63
5066,31/08/2018,72,155.24
8025,18/09/2019,73,128
4929,22/12/2018,71,24.26
4792,14/08/2019,91,63.72
4241,20/05/2020,15,113.47
6039,03/05/2021,96,166.61
5460,21/10/2020,70,103.82
1423,07/07/2018,30,192.76
9502,27/08/2021,57,184.05
6700,16/04/2020,43,71
7561,25/07/2022,98,114.52
7622,07/11/2022,66,166.74
9167,04/07/2021,57,154.4
8941,06/09/2018,4,194.9
4681,20/09/2022,15,97.68
5479,30/04/2020,62,196.25
9327,09/03/2022,18,174.17
1042,03/08/2019,93,66.73
9903,12/02/2020,59,187.24
1715,14/10/2019,96,99.87
3492,11/10/2020,5,33.99
8486,01/02/2018,93,37.39
7512,23/08/2021,11,171.84
9864,15/03/2018,80,23
2646,27/06/2020,22,141.86
8056,26/10/2018,32,110.92
4945,16/10/2020,75,37.19
8622,13/08/2019,87,113.85
7951,14/11/2021,33,96.8
7248,17/03/2021,46,119.21
1803,26/05/2021,96,104.38
5106,20/10/2021,97,146.98
8222,10/03/2018,75,79.32
4289,28/09/2018,70,176.53
8894,10/07/2022,38,151.85
4696,28/10/2022,87,147.6
3024,20/07/2020,48,137.84
4830,23/08/2020,4,127.71
5951,22/08/2021,53,32.17
9807,05/10/2018,50,96.19
7686,27/07/2019,5,141.15
7018,20/01/2021,83,78.15
8450,07/07/2018,85,50.3
4362,21/05/2018,98,115.3
1046,22/07/2019,19,197.63
6869,06/06/2022,31,121.88
2862,08/03/2022,9,100.49
9543,10/09/2019,59,132.23
2768,01/10/2020,92,182.84
9984,29/12/2021,42,82.37
2874,13/10/2022,84,133.67
8430,27/03/2020,54,148.63
8770,18/05/2018,12,168.04
1982,16/04/2021,72,116.72
1842,13/08/2019,77,69.37
6736,28/09/2022,72,79.84
1430,01/06/2021,85,167.6
6567,20/12/2019,1,44.47
2503,09/03/2022,68,50.88
2391,15/12/2022,7,39.56
8242,28/04/2020,35,50.96
8972,15/12/2020,86,68.6
4460,21/04/2022,18,155.19
3116,18/02/2020,69,143.7
8532,09/06/2018,41,119.39
3815,30/06/2022,80,97.42
7560,09/12/2020,11,85.2
2868,22/12/2020,66,46.84
4871,30/07/2018,19,58.63
9095,08/08/2020,97,117.11
2118,18/08/2020,57,129.96
1616,27/04/2018,48,168.02
1672,10/07/2020,74,133.85
6626,02/01/2022,11,105.86
9564,02/06/2021,21,79.14
6482,15/05/2018,43,27.96
3463,14/11/2019,11,120.72
3112,03/05/2021,91,188.22
9624,11/07/2018,83,137.39
8967,29/01/2019,29,200
9843,07/09/2022,95,177.9
3527,29/11/2018,24,167.96
8277,04/06/2021,37,152.95
8684,07/09/2022,25,79.89
7859,28/11/2018,26,162.24
2680,27/12/2021,67,171.72
3414,29/08/2022,56,27.43
7495,25/10/2020,48,54.8
6493,09/06/2022,19,36.14
8349,14/06/2021,1,182.11
9647,16/05/2020,15,157.47
8489,09/05/2018,15,168.97
5772,29/05/2020,1,126.81
6908,19/05/2018,68,113.38
7116,04/06/2019,96,13.09
6447,01/10/2018,6,76.94
8840,17/07/2021,24,164.18
1686,09/10/2019,40,107.92
1783,09/11/2022,84,73.07
7334,26/11/2019,24,104.28
7955,11/06/2018,56,124.47
6021,02/07/2020,78,146.36
6776,13/06/2021,56,62.17
3621,05/03/2018,19,171.25
6933,24/02/2020,73,16.15
3255,20/12/2020,47,85.63
9482,03/03/2020,72,32.37
9047,14/02/2019,16,35.79
6236,29/09/2021,45,144.81
3852,14/06/2022,47,106.66
6912,08/02/2021,74,80.09
8842,12/12/2020,53,156.14
9476,07/12/2019,17,176.81
3034,27/11/2020,20,67.78
9501,05/08/2019,11,57.62
3762,27/04/2021,75,39.3
5336,26/08/2021,27,155.72
5949,16/09/2020,32,162.89
7809,18/09/2020,60,48.76
6658,27/03/2020,17,154.53
3308,18/07/2018,7,65.14
6364,29/03/2021,93,69.42
9148,17/02/2018,12,189.59
9108,08/05/2021,84,137.78
6992,14/04/2022,52,79.53
2204,02/03/2020,65,95.57
6555,16/02/2021,47,153.44
6456,05/07/2022,61,108.67
5902,30/04/2021,44,106.39
2795,03/05/2020,75,68.46
4728,17/01/2022,7,120.87
2800,26/01/2019,3,93.8
8726,23/11/2022,95,148.21
7173,05/10/2019,23,97.34
5331,03/06/2021,62,46.53
5876,29/04/2022,37,143.93
5480,13/08/2019,16,118.96
5758,28/03/2018,37,191.51
4505,18/02/2019,69,61.52
1831,03/10/2021,68,52.88
3252,11/01/2018,71,195.8
4267,29/03/2022,37,71.02
1611,25/12/2018,54,177.63
5742,01/12/2022,5,11.76
9092,27/12/2022,18,171.7
8518,20/08/2021,33,146.53
3875,05/06/2021,82,180.44
3303,04/09/2020,42,187.81
6400,11/09/2019,75,147.35
2936,11/08/2020,40,40.35
4618,25/03/2019,18,100.85
9806,01/07/2022,86,166.86
2838,07/05/2018,71,181.55
4365,08/01/2022,75,102.88
1945,18/02/2021,60,137.83
2196,03/04/2018,55,75.46
1519,11/08/2019,53,44.2
7184,09/02/2020,11,139.72
3086,30/01/2022,29,168.62
7214,14/08/2022,30,57.03
2848,07/03/2018,85,89.66
1797,17/05/2019,95,18.4
3295,28/10/2020,38,54.49
9540,29/03/2019,53,67.1
6642,10/08/2021,86,82.42
9813,27/08/2020,31,171.37
7824,15/02/2021,68,35.48
7079,09/07/2018,69,147.67
2192,21/01/2019,98,121.64
1251,10/03/2019,25,192.79
7498,06/05/2019,71,71.11
6892,16/11/2020,64,98.54
4625,27/02/2022,19,13.08
5026,19/10/2020,71,134.38
9037,01/08/2020,22,149.23
