Customer_ID,gender,Partner,Dependents,Senior_Citizen,Call_Duration,Data_Usage,Plan_Type,Plan_Level,Monthly_Bill_Amount,Tenure_Months,Multiple_Lines,Tech_Support,Churn
NSat2001,Female,Yes,No,0,156,8.36,Prepaid,Premium,126,44,Yes,Yes,0
NSat2002,Male,No,No,0,383,5.35,Prepaid,Basic,80,7,No,No,1
NSat2003,Male,No,No,0,407,3.04,Postpaid,Premium,314.8,15,Yes,Yes,1
NSat2004,Male,No,No,0,106,1.2,Prepaid,Premium,126,38,Yes,Yes,0
NSat2005,Female,No,No,0,124,5.63,Postpaid,Premium,97.95,17,Yes,Yes,1
NSat2006,Female,No,No,0,151,5.13,Prepaid,Basic,92,12,Yes,No,1
NSat2007,Male,No,Yes,0,197,19.34,Prepaid,Basic,92,14,Yes,No,1
NSat2008,Female,No,No,0,383,18.5,Postpaid,Premium,337.1,13,Yes,Yes,1
NSat2009,Female,Yes,No,0,153,16.81,Prepaid,Premium,126,39,Yes,Yes,0
NSat2010,Male,No,Yes,0,299,20.12,Prepaid,Basic,80,1,No,No,1
NSat2011,Male,Yes,Yes,0,423,25.66,Prepaid,Premium,126,45,Yes,Yes,0
NSat2012,Male,No,No,0,193,29.4,Prepaid,Basic,80,6,No,No,1
NSat2013,Male,Yes,No,0,240,30.47,Prepaid,Premium,126,42,Yes,Yes,0
NSat2014,Male,No,No,0,454,19.65,Prepaid,Premium,126,32,Yes,Yes,0
NSat2015,Male,No,No,0,515,27.37,Prepaid,Basic,88,7,No,Yes,1
NSat2016,Female,Yes,Yes,0,559,25.44,Prepaid,Basic,100,12,Yes,Yes,1
NSat2017,Female,No,No,0,221,27.8,Prepaid,Basic,80,6,No,No,1
NSat2018,Male,No,Yes,0,403,31.11,Prepaid,Basic,92,8,Yes,No,1
NSat2019,Female,Yes,Yes,0,284,23.59,Prepaid,Premium,126,57,Yes,Yes,0
NSat2020,Female,No,No,0,200,27.54,Prepaid,Basic,80,7,No,No,1
NSat2021,Male,No,No,1,254,25.77,Prepaid,Premium,126,7,Yes,Yes,0
NSat2022,Male,Yes,No,0,323,28.05,Postpaid,Premium,199.65,15,Yes,Yes,1
NSat2023,Male,No,No,0,443,23.18,Postpaid,Premium,191.4,13,Yes,Yes,1
NSat2024,Female,Yes,No,0,335,27.76,Postpaid,Premium,138.65,15,Yes,Yes,1
NSat2025,Male,Yes,Yes,0,355,26.34,Prepaid,Premium,126,29,Yes,Yes,0
NSat2026,Female,No,No,0,461,24.61,Prepaid,Basic,80,12,No,No,1
NSat2027,Male,Yes,Yes,0,384,21.44,Prepaid,Premium,126,38,Yes,Yes,0
NSat2028,Male,Yes,Yes,0,572,25.95,Prepaid,Premium,126,29,Yes,Yes,0
NSat2029,Male,Yes,No,0,564,27.88,Prepaid,Basic,100,10,Yes,Yes,1
NSat2030,Female,No,Yes,0,241,28.88,Prepaid,Basic,80,8,No,No,1
NSat2031,Female,Yes,No,1,254,22.88,Prepaid,Premium,126,2,Yes,Yes,0
NSat2032,Male,Yes,No,1,511,21.82,Postpaid,Premium,366.95,13,Yes,Yes,1
NSat2033,Female,Yes,Yes,0,194,25.17,Prepaid,Premium,126,48,Yes,Yes,0
NSat2034,Male,No,No,0,484,26.54,Postpaid,Premium,315.05,16,Yes,Yes,1
NSat2035,Male,No,No,1,200,25.14,Prepaid,Basic,80,1,No,No,1
NSat2036,Female,Yes,Yes,0,243,31.5,Prepaid,Basic,100,12,Yes,Yes,1
NSat2037,Male,No,No,0,359,22.55,Prepaid,Basic,80,2,No,No,1
NSat2038,Female,No,No,0,296,19.6,Prepaid,Basic,80,7,No,No,1
NSat2039,Male,No,No,0,258,25.17,Prepaid,Premium,126,32,Yes,Yes,0
NSat2040,Female,No,No,0,322,24.76,Postpaid,Premium,112.5,17,Yes,Yes,1
NSat2041,Male,Yes,Yes,0,441,26.12,Prepaid,Basic,80,10,No,No,1
NSat2042,Female,Yes,Yes,0,157,30.97,Prepaid,Basic,92,10,Yes,No,1
NSat2043,Female,Yes,Yes,0,184,31.68,Prepaid,Basic,80,8,No,No,1
NSat2044,Female,No,No,0,153,31.66,Postpaid,Premium,336.55,18,Yes,Yes,1
NSat2045,Female,Yes,No,0,427,27.91,Postpaid,Premium,143.35,15,Yes,Yes,1
NSat2046,Female,No,No,0,448,31.4,Prepaid,Basic,92,2,Yes,No,1
